NAME	NES	FDR.q.val
GO_RESPONSE_TO_TYPE_I_INTERFERON	2.9293528	0
REACTOME_INTERFERON_SIGNALING	2.9066515	0
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	2.863483	0
GO_DEFENSE_RESPONSE_TO_VIRUS	2.765114	0
GO_INTERFERON_GAMMA_MEDIATED_SIGNALING_PATHWAY	2.7553318	0
GO_RESPONSE_TO_INTERFERON_GAMMA	2.694654	0
REACTOME_INTERFERON_GAMMA_SIGNALING	2.6348016	0
GO_NEGATIVE_REGULATION_OF_VIRAL_PROCESS	2.561192	0
GO_DEFENSE_RESPONSE_TO_OTHER_ORGANISM	2.5266616	0
REACTOME_ANTIGEN_PRESENTATION:_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	2.505766	0
GO_RESPONSE_TO_VIRUS	2.5017436	0
GO_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION	2.5010514	0
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	2.4826949	0
GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I	2.4789007	0
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	2.4655042	0
GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN	2.4506261	0
GO_NEGATIVE_REGULATION_OF_INNATE_IMMUNE_RESPONSE	2.4310875	0
GO_NEGATIVE_REGULATION_OF_MULTI_ORGANISM_PROCESS	2.4299903	0
GO_T_CELL_MEDIATED_CYTOTOXICITY	2.4132202	0
GO_ANTIGEN_PROCESSING_AND_PRESENTATION	2.4117005	0
GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I	2.4111333	0
GO_LEUKOCYTE_MEDIATED_CYTOTOXICITY	2.4052587	0
GO_POSITIVE_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS	2.3963773	0
GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_ANTIGEN	2.3872406	0
GO_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY	2.3850694	0
GO_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY	2.3814836	0
GO_REGULATION_OF_CELL_KILLING	2.3745322	0
GO_REGULATION_OF_INNATE_IMMUNE_RESPONSE	2.3661027	0
GO_T_CELL_MEDIATED_IMMUNITY	2.365801	0
KEGG_VIRAL_MYOCARDITIS	2.3626585	0
GO_POSITIVE_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY	2.3478088	0
GO_REGULATION_OF_VIRAL_LIFE_CYCLE	2.3370848	0
GO_POSITIVE_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY	2.3295546	0
KEGG_GRAFT_VERSUS_HOST_DISEASE	2.3294656	0
GO_POSITIVE_REGULATION_OF_CELL_KILLING	2.325828	0
KEGG_TYPE_I_DIABETES_MELLITUS	2.3233821	0
GO_POSITIVE_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY	2.2964869	0
GO_REGULATION_OF_VIRAL_GENOME_REPLICATION	2.2941597	2.5979272e-05
GO_POSITIVE_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY	2.2888656	5.1427745e-05
GO_CELL_KILLING	2.2784266	5.0142055e-05
KEGG_AUTOIMMUNE_THYROID_DISEASE	2.2777808	4.8919075e-05
GO_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	2.2764668	4.7754336e-05
